,id,text,dayOfWeek,time,lang,retweet_count,like_count,reply_count,quote_count,cashtags,hashtags,mention_count,images,author_id
0,1487574965260099588,@pulte This would go a long way to help my family!! https://t.co/K6wL3h0Tzk,6,23:54:44,en,0,0,2,0,[],[],0,['https://t.co/K6wL3h0Tzk'],25189181
1,1487574948768014336,whole family went out so i am chilling with him https://t.co/dZWzDnIJDQ,6,23:54:40,en,0,0,0,0,[],[],0,['https://t.co/dZWzDnIJDQ'],353484475
2,1487574939741958149,My thing is raising animals and plants on our family farm! #YouDoYourThing  #Contest @turbotax https://t.co/0v3Ek5f40i,6,23:54:38,en,0,0,0,0,[],"['YouDoYourThing', 'Contest']",0,['https://t.co/0v3Ek5f40i'],25192844
3,1487574937187635202,Stuffed but happy to see my family my other side of the family ❤️ https://t.co/Qlpnb9Wtmf,6,23:54:37,en,0,7,0,0,[],[],0,['https://t.co/Qlpnb9Wtmf'],4176577137
4,1487574883718643716,@LUMBERJACKJ0HN @bone_ape #WAGGA BEST FAMILY OUT THERE https://t.co/wg2Jbzfgz8,6,23:54:24,en,0,1,1,0,[],['WAGGA'],0,['https://t.co/wg2Jbzfgz8'],1349271233884528640
5,1487574871479443457,"Tomorrow's tip: don't forget to eat a nice meal and live a little. It's important that you enjoyed this for yourself, and to encourage your family to do so as well. Ultimately, you all have worked so hard for it! https://t.co/u0yRCZmCpn",6,23:54:21,en,0,0,0,0,[],[],0,['https://t.co/u0yRCZmCpn'],1355312030920581120
6,1487574852261199873,"@BitcoinMagazine We don’t see things as they are, we see them as we are!
We Are @Sugarlandcoin Family

#CG #CMC #NFTCommunity #NFT #nftArt #SUGAR #SUGARLANDCOIN #METAVERSE #BSC #BSCGem #bscgems #cryptocurrency https://t.co/6XJUI7ZNfR",6,23:54:17,en,0,0,0,0,[],"['CG', 'CMC', 'NFTCommunity', 'NFT', 'nftArt', 'SUGAR', 'SUGARLANDCOIN', 'METAVERSE', 'BSC', 'BSCGem', 'bscgems', 'cryptocurrency']",0,['https://t.co/6XJUI7ZNfR'],1386168335302217730
7,1487574849841160195,"@BelleAudiophile Psycho
Meghan Markle family members are not victims they are aggressors &amp; liars https://t.co/64VohCm80h",6,23:54:16,en,0,1,1,1,[],[],0,['https://t.co/64VohCm80h'],726828978540007424
8,1487574847970766848,"@BitcoinMagazine We don’t see things as they are, we see them as we are!
We Are @Sugarlandcoin Family

#CG #CMC #NFTCommunity #NFT #nftArt #SUGAR #SUGARLANDCOIN #METAVERSE #BSC #BSCGem #bscgems #cryptocurrency https://t.co/hKIWt8FofJ",6,23:54:16,en,0,0,0,0,[],"['CG', 'CMC', 'NFTCommunity', 'NFT', 'nftArt', 'SUGAR', 'SUGARLANDCOIN', 'METAVERSE', 'BSC', 'BSCGem', 'bscgems', 'cryptocurrency']",0,['https://t.co/hKIWt8FofJ'],1386168335302217730
9,1487574838025736193,🥰Congratulations to 🐳WhaleRank#500 @coasthawk for joining #NewWorldOrder-NWO family #NFTtrack #cryptoart #NFTartists. Just bought 1. Cost 0.15 ETH($388.21). Holding now 163💎. @iwwon_official LFG. 🚀🌕 https://t.co/rZ5ZdPdLzN https://t.co/GhLjZTjptu,6,23:54:13,en,0,2,0,0,[],"['NewWorldOrder', 'NFTtrack', 'cryptoart', 'NFTartists']",0,"['https://t.co/rZ5ZdPdLzN', 'https://t.co/GhLjZTjptu']",1439168463835058189
10,1487574810846806017,"Roots, Rock, Reggae All Day Everyday! Follow us @RockersMovement Now Playing: I Shot The Sheriff by #bobmarley Live from #Miami to the Global #Reggae Family. #ReggaeRockStars https://t.co/2Wx0rvtXJO https://t.co/pcDz8aMcdA",6,23:54:07,en,0,0,0,0,[],"['bobmarley', 'Miami', 'Reggae', 'ReggaeRockStars']",0,"['https://t.co/2Wx0rvtXJO', 'https://t.co/pcDz8aMcdA']",188402537
11,1487574807336001540,"At the beginning of CNY, the first thing is posted goalkeeper, couplet.
.
.
.
#cny2022 #stayhome #family #reunion #gathering #gettogethers #meeting #red #joyous #festival #couplets #goalkeeper #godofdoor #well #peace #chineseculture #ancienthistory #inheritance #morimatea https://t.co/zjeoMDbBsR",6,23:54:06,en,0,0,0,0,[],"['cny2022', 'stayhome', 'family', 'reunion', 'gathering', 'gettogethers', 'meeting', 'red', 'joyous', 'festival', 'couplets', 'goalkeeper', 'godofdoor', 'well', 'peace', 'chineseculture', 'ancienthistory', 'inheritance', 'morimatea']",0,"['https://t.co/zjeoMDbBsR', 'https://t.co/zjeoMDbBsR', 'https://t.co/zjeoMDbBsR', 'https://t.co/zjeoMDbBsR']",778518378063343616
12,1487574768970731524,Ascension Sports Family Isaiah Wilkins/Longwood finished with 16 points and 6 rebounds in another win. Longwood remains undefeated in the Big South Conference. Find a program changer by recruiting Ascension Sports. #KeepAscending #NoStudentLoans https://t.co/ZcksFKxDMD,6,23:53:57,en,7,17,0,0,[],"['KeepAscending', 'NoStudentLoans']",0,['https://t.co/ZcksFKxDMD'],1120892515673092096
13,1487574761051881477,@Rheasong this is the family dog bernoulli and he's a weirdo https://t.co/sxb0Z6M6Du,6,23:53:55,en,0,1,1,0,[],[],0,"['https://t.co/sxb0Z6M6Du', 'https://t.co/sxb0Z6M6Du', 'https://t.co/sxb0Z6M6Du']",2197087620
14,1487574743528009729,🥰Congratulations to 🐳WhaleRank#500 @Stitvuli for joining #Waifusion family #nftwhale #cryptoart #NFT. Just bought 4. Average 0.21 ETH($542.77). Holding now 5. @waifusion LFG. 🚀🌕 https://t.co/fOW9TbrC6c https://t.co/zrtIhbTD0m,6,23:53:51,en,0,1,1,0,[],"['Waifusion', 'nftwhale', 'cryptoart', 'NFT']",0,"['https://t.co/fOW9TbrC6c', 'https://t.co/zrtIhbTD0m', 'https://t.co/zrtIhbTD0m', 'https://t.co/zrtIhbTD0m']",1439168463835058189
15,1487574710133137409,"@NYPD32Pct @NYPDPC NYC is hurting with you. We are feeling your pain, sorrow, emptiness and anger. We are crying with you, our hearts are broken! We pray for you, the Rivera family and the NYPD. We ask God to comfort you and help you through these trying times. God Bless 🙏 https://t.co/kOuaHm16QO",6,23:53:43,en,0,0,0,0,[],[],0,['https://t.co/kOuaHm16QO'],437886774
16,1487574673252573185,My Wife and Kids was the funniest family sitcom and still is damnit 😤 https://t.co/Dpe9yLWr1l,6,23:53:34,en,0,14,4,0,[],[],0,['https://t.co/Dpe9yLWr1l'],1387054253378703361
17,1487574667988721666,What’s the best way to cap off the day after an @AuburnMBB win? Taking your family to @MonsterJam https://t.co/t2sbemdUAJ,6,23:53:33,en,0,0,0,1,[],[],0,"['https://t.co/t2sbemdUAJ', 'https://t.co/t2sbemdUAJ']",75958793
18,1487574644945158144,🥰Congratulations to 🐳WhaleRank#500 @ZhangKai55 for joining #XMetaverseCentralAreaLand family #nftwhale #NFTdrop #NFTtrack. Just bought 4. Average 0.30 ETH($785.26). Holding now 8. @XMetaverse_ Central Area Land LFG. 🚀🌕 https://t.co/oEeEkvPPEY https://t.co/P6y7GggMRC,6,23:53:27,en,0,1,0,0,[],"['XMetaverseCentralAreaLand', 'nftwhale', 'NFTdrop', 'NFTtrack']",0,"['https://t.co/oEeEkvPPEY', 'https://t.co/P6y7GggMRC', 'https://t.co/P6y7GggMRC', 'https://t.co/P6y7GggMRC']",1439168463835058189
19,1487574633599881216,Family trip 2022 https://t.co/ySk21BCBSh,6,23:53:25,en,0,0,0,0,[],[],0,"['https://t.co/ySk21BCBSh', 'https://t.co/ySk21BCBSh', 'https://t.co/ySk21BCBSh', 'https://t.co/ySk21BCBSh']",2783641496
